Branch,0 - 3 days,4 - 10 days,11 - 15 days,16+ days,All
MHK,589.54205,1286.93535,776.0779,5175.42262,7827977.92
MOT,326.87162,578.34098,532.55214,2532.43841,3970203.15
BSL,520.2124,734.04745,376.15214,1415.06219,3045474.18
NAJ,570.90935,630.3241,259.70898,1348.49286,2809435.29
SYL,392.54954,565.22971,246.94087,1516.91556,2721635.68
CTG,400.22934,454.78541,181.06416,1652.89472,2688973.63
MIR,228.10555,463.35334,379.30518,1436.00355,2506767.62
COM,408.46696,424.1273,307.99572,1222.69754,2363287.52
COX,968.46831,445.62314,70.33127,714.58165,2199004.37
RNG,392.70076,351.30368,127.16397,1308.00802,2179176.43
HZJ,270.14043,636.89038,318.58193,858.64758,2084260.32
GZP,316.9982,450.0746,242.05092,1022.41132,2031535.04
CTN,322.05928,485.95563,136.93516,959.67912,1904629.19
SAV,219.37303,377.67527,378.71168,728.14713,1703907.11
RAJ,399.4521,344.03302,85.05886,846.85045,1675394.43
JES,301.59611,551.2181,236.69106,560.62876,1650134.03
FRD,483.87264,472.61333,100.34812,562.86503,1619699.12
KHL,224.81925,157.2767,139.44073,1066.09047,1587627.15
NOK,263.68421,381.44966,36.12669,882.37714,1563637.7
MLV,408.37774,233.36761,101.45947,791.11263,1534317.45
DNJ,400.6024,423.54722,70.64994,248.56522,1143364.78
PAT,175.7289,218.09303,85.11918,653.85365,1132794.76
VRB,66.62837,83.74129,307.07061,624.19066,1081630.93
MYM,388.64754,238.61057,93.74386,278.26362,999265.59
KSG,235.91953,186.65249,25.0086,493.66908,941249.7
BOG,262.77967,352.91683,88.21444,157.3166,861227.54
PBN,117.62849,289.98558,61.34692,316.81808,785779.07
KUS,185.26335,156.02769,59.62726,258.60793,659526.23
KRN,143.19054,197.43827,43.39034,256.95563,640974.78
FEN,212.43555,56.11428,22.91322,175.38654,466849.59
TGL,296.73308,157.37091,0.0001,12.2367,466340.69
