Branch Name,Invoice Number,Invoice Date,Customer ID,NAMECUST,Address,0 - 3 days,4 - 10 days,11 - 15 days,16+ days
BOG,SKINV320-455296     ,20200601.0,90000001966,Popular Medicine Corner  Model Pharmacy                     ,Thonthonia Sherpur Road                                     ,,,,7945.62
BOG,SKINV320-459490     ,20200608.0,32091105941,Mayer Dowa Pharmacy                                         ,Dugdugi Bazar Dhunot Bogra                                  ,15242.62,,,
BOG,SKINV320-459524     ,20200608.0,32081102245,Moon And Misu Pharmacy                                      ,Velur Para Sonatola Bogra                                   ,5146.01,,,
BOG,SKINV320-465636     ,20200617.0,32081002401,Jafrin Pharmacy                                             ,Boiragir Bazar Kalai Joypurhat                              ,,,5082.91,
BOG,SKINV320-469374     ,20200623.0,90000030108,Mayer Dowa Pharmacy                                         ,"Pali Bazar,Joypurhat                                        ",,,,9622.56
BOG,SKINV320-471421     ,20200627.0,32081001223,Gita Medical Store                                          ,Sariakandi Bazar Sariakandi Bogra                           ,,,,11972.93
BOG,SKINV320-473424     ,20200701.0,90000023718,Dipaly medical Store                                        ,"Tetulia Bazar,Borshail                                      ",,,,2956.98
BOG,SKINV320-474312     ,20200703.0,32081100333,Kollol Pharmacy                                             ,Puranopoll Bazar Purannopoll Joypurhat                      ,,,,4713.11
BOG,SKINV320-475228     ,20200704.0,32081101391,Maa Danta Chikeshaloy                                       ,Fashitola Bazar Fashitola Gobindhagonj                      ,,,,5043.6
BOG,SKINV320-457324     ,20200605.0,90000023489,Hozrot Shah Jalal General Hospital                          ,"Hospital Road,Dhonut                                        ",,,19386.97,
BOG,SKINV320-468619     ,20200622.0,32081100244,Dr Binoya Chonda Mohanto                                    ,Kusumshara Matrai Joypurhat                                 ,,,,9964.06
BOG,SKINV320-469798     ,20200624.0,90000016249,Zia Medical Store                                           ,Hazipur Akkelpur                                            ,,,,10063.87
BOG,SKINV320-470801     ,20200626.0,32091101903,Rupali Pharmacy                                             ,Amtoli Bazar Mazira Bogra                                   ,,,,6151.05
BOG,SKINV320-471473     ,20200627.0,32091105471,Al Shifa General Hospital                                   ,Mohimagonj Gobindogonj Gaibandha                            ,,,,4996.07
BOG,SKINV320-472744     ,20200630.0,90000007728,Suvro Pharmacy                                              ,Naogaon Tarash                                              ,,,,5936.97
BOG,SKINV320-472888     ,20200630.0,32081101221,Akand Pharmecy                                              ,Chapapur Bazar Dupchacia Bogra                              ,,,,7744.54
BOG,SKINV320-473243     ,20200701.0,90000006581,Sabbir Pharmacy                                             ,Trimohoni Nandigram                                         ,,,,10053.87
BOG,SKINV320-474238     ,20200703.0,32091106840,Medicine Musium                                             ,Upashohar Bazer Bogra Town Bogra                            ,,,,4994.0
BOG,SKINV320-474628     ,20200704.0,32081106314,Dinabondhu Medical Store                                    ,Binodpur Bazer Tarash Sirajgonj                             ,,,,9702.94
