Branch Name,Invoice Number,Invoice Date,Customer ID,Customer Name,Address,0 - 3 days,4 - 10 days,11 - 15 days,16 - 30 days,31 - 90 days,91 - 201 days,202+ days
BSLSKF,SKINV510-521891     ,20200704.0,51052149110,Bhuyan Medical Hall,Rahim Bazar Batamara Muladi                                 ,7429.16,,,,,,
BSLSKF,SKINV510-521917     ,20200704.0,51051001737,Sonar Bangla Pharmacy,Paderhat Muladi Barisal                                     ,19872.88,,,,,,
CTGSKF,SKINV210-673476     ,20200704.0,90000011411,S S Medicine Point,Still Mill Khezurtola Potenga Chittagong                    ,10090.65,,,,,,
CTGSKF,SKINV210-673790     ,20200704.0,21021010623,Chowdhury Pharmacy,"North Side Of Munsef bazar Potia,Chittagong                 ",10054.28,,,,,,
CTGSKF,SKINV210-673003     ,20200704.0,90000021274,Dwip Pharmacy,Akbarhat Sandwip Chattogram                                 ,14874.59,,,,,,
CTGSKF,SKINV210-673193     ,20200704.0,21021000862,Azmir Pharmacy,"Nazirhat, Baunia,Sandeep, Chittagong                        ",17095.64,,,,,,
CTGSKF,SKINV210-673023     ,20200704.0,90000025697,sabbir Pharmacy,Palesser bazar sandwip                                      ,14012.31,,,,,,
FRDSKF,SKINV420-547004     ,20200704.0,42011110097,Mona Pharmacy,Taltola Bazar Chandoni Rajbari                              ,4923.48,,,,,,
HZJSKF,SKINV250-382718     ,20200704.0,25061106610,Mitu Pharmacy,Dr Shison Chandra Das Balakhal Bazar Hazigonj               ,14569.01,,,,,,
HZJSKF,SKINV250-382958     ,20200704.0,25061103454,Mahi pharmacy,"Main Road, Natharpatua Bazar, Monohargonj,Comilla           ",34695.07,,,,,,
JESSKF,SKINV440-428037     ,20200704.0,4401900800,Mollah Pharmacy,Singari Bazar Noapara                                       ,6115.35,,,,,,
JESSKF,SKINV440-428497     ,20200704.0,44031000582,Al Arafat Pharmacy,Nokipur Bazar Shyamnagar Satkhira                           ,7144.54,,,,,,
